model_3v      -E  -n2   -o2   -S2   		Command exited with non-zero status 124 59.79	
model_3v      -E  -n2   -o3   -S0   		9.07	
model_3v      -E  -n2   -o3   -S1   		6.50	
model_3v      -E  -n2   -o3   -S2   		7.13	
model_3v      -E  -n2   -o4   -S0   		Command exited with non-zero status 124 59.86	
model_3v      -E  -n2   -o4   -S1   		Command exited with non-zero status 124 59.81	
model_3v      -E  -n2   -o4   -S2   		Command exited with non-zero status 124 59.76	
model_3v      -E  -n3   -o2   -S0   		Command exited with non-zero status 124 59.58	
model_3v      -E  -n3   -o2   -S1   		Command exited with non-zero status 124 59.81	
model_3v      -E  -n3   -o2   -S2   		Command exited with non-zero status 124 59.80	
model_3v      -E  -n3   -o3   -S0   		11.14	
model_3v      -E  -n3   -o3   -S1   		5.24	
model_3v      -E  -n3   -o3   -S2   		7.88	
model_3v      -E  -n3   -o4   -S0   		Command exited with non-zero status 124 59.48	
model_3v      -E  -n3   -o4   -S1   		Command exited with non-zero status 124 59.83	
model_3v      -E  -n3   -o4   -S2   		Command exited with non-zero status 124 59.80	
model_3v      -E  -n4   -o2   -S0   		Command exited with non-zero status 124 59.79	
model_3v      -E  -n4   -o2   -S1   		Command exited with non-zero status 124 59.83	
model_3v      -E  -n4   -o2   -S2   		Command exited with non-zero status 124 59.71	
model_3v      -E  -n4   -o3   -S0   		14.18	
model_3v      -E  -n4   -o3   -S1   		6.61	
model_3v      -E  -n4   -o3   -S2   		6.85	
model_3v      -E  -n4   -o4   -S0   		Command exited with non-zero status 124 59.80	
model_3v      -E  -n4   -o4   -S1   		Command exited with non-zero status 124 59.79	
model_3v      -E  -n4   -o4   -S2   		Command exited with non-zero status 124 59.84	
model_3v   -C  -E  -n0   -o2   -S0   		Command exited with non-zero status 124 59.67	
model_3v   -C  -E  -n0   -o2   -S1   		Command exited with non-zero status 124 59.50	
model_3v   -C  -E  -n0   -o2   -S2   		Command exited with non-zero status 124 59.72	
model_3v   -C  -E  -n0   -o3   -S0   		7.23	
model_3v   -C  -E  -n0   -o3   -S1   		6.19	
model_3v   -C  -E  -n0   -o3   -S2   		4.24	
model_3v   -C  -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.67	
model_3v   -C  -E  -n0   -o4   -S1   		Command exited with non-zero status 124 59.54	
model_3v   -C  -E  -n0   -o4   -S2   		Command exited with non-zero status 124 59.82	
model_3v   -C  -E  -n1   -o2   -S0   		Command exited with non-zero status 124 59.68	
model_3v   -C  -E  -n1   -o2   -S1   		Command exited with non-zero status 124 59.62	
model_3v   -C  -E  -n1   -o2   -S2   		Command exited with non-zero status 124 59.72	
model_3v   -C  -E  -n1   -o3   -S0   		3.90	
model_3v   -C  -E  -n1   -o3   -S1   		3.46	
model_3v   -C  -E  -n1   -o3   -S2   		4.36	
model_3v   -C  -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.56	
model_3v   -C  -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.56	
model_3v   -C  -E  -n1   -o4   -S2   		31.46	
model_3v   -C  -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.55	
model_3v   -C  -E  -n2   -o2   -S1   		Command exited with non-zero status 124 59.63	
model_3v   -C  -E  -n2   -o2   -S2   		59.85	
model_3v   -C  -E  -n2   -o3   -S0   		2.75	
model_3v   -C  -E  -n2   -o3   -S1   		3.04	
model_3v   -C  -E  -n2   -o3   -S2   		3.72	
model_3v   -C  -E  -n2   -o4   -S0   		26.04	
model_3v   -C  -E  -n2   -o4   -S1   		Command exited with non-zero status 124 59.70	
model_3v   -C  -E  -n2   -o4   -S2   		Command exited with non-zero status 124 59.78	
model_3v   -C  -E  -n3   -o2   -S0   		Command exited with non-zero status 124 59.62	
model_3v   -C  -E  -n3   -o2   -S1   		50.45	
model_3v   -C  -E  -n3   -o2   -S2   		Command exited with non-zero status 124 56.62	
model_3v   -C  -E  -n3   -o3   -S0   		7.68	
model_3v   -C  -E  -n3   -o3   -S1   		5.00	
model_3v   -C  -E  -n3   -o3   -S2   		3.55	
model_3v   -C  -E  -n3   -o4   -S0   		Command exited with non-zero status 124 58.90	
model_3v   -C  -E  -n3   -o4   -S1   		Command exited with non-zero status 124 59.71	
model_3v   -C  -E  -n3   -o4   -S2   		Command exited with non-zero status 124 59.85	
model_3v   -C  -E  -n4   -o2   -S0   		Command exited with non-zero status 124 59.80	
model_3v   -C  -E  -n4   -o2   -S1   		Command exited with non-zero status 124 59.77	
model_3v   -C  -E  -n4   -o2   -S2   		Command exited with non-zero status 124 59.84	
model_3v   -C  -E  -n4   -o3   -S0   		3.46	
model_3v   -C  -E  -n4   -o3   -S1   		3.04	
model_3v   -C  -E  -n4   -o3   -S2   		4.30	
model_3v   -C  -E  -n4   -o4   -S0   		Command exited with non-zero status 124 58.12	
model_3v   -C  -E  -n4   -o4   -S1   		Command exited with non-zero status 124 59.10	
model_3v   -C  -E  -n4   -o4   -S2   		Command exited with non-zero status 124 58.16	


